PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? 
4,Text 6,doc34,3,medical,1,18,35.817,1,0,122,0.041,N/A,'geen ',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 6,doc34,3,medical,2,23,29.463,0,2,194,0.1134,N/A,'kangoeroezorg'; 'maagsonde',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 6,doc34,3,medical,4,50,55.483999999999995,0,7,304,0.2467,N/A,'werden'; 'gestational age'; 'weken opgenomen. Hun'; 'werden in'; 'studie opgenomen.',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 6,doc34,3,medical,5,49,38.199,0,1,139,0.1007,N/A,"'kangoeroezorg,'",Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 6,doc34,3,medical,6,58,35.12500000000001,0,2,116,0.069,N/A,'drinken.',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 6,doc34,3,medical,7,36,70.047,0,1,204,0.0049,N/A,' ',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 6,doc34,3,medical,8,13,16.92,0,3,162,0.3086,N/A,'gavagevoeding'; 'kangoeroezorggroep'; 'standaardzorggroep.',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 6,doc34,3,medical,3,0,0,0,0,49,0.0,N/A,,Somewhat easy,Very good,Somewhat useful,Somewhat accurate,nan,nan
4,Text 7,news_pa.5274,4,news,1,1,13.26,0,2,92,0.2391,50.0,'keerpunt',Somewhat easy,Very good,Somewhat useful,Somewhat accurate,Somewhat useful,Very accurate
4,Text 7,news_pa.5274,4,news,2,9,37.512,0,4,202,0.1238,25.0,"''We'; 'onderschreven','",Somewhat easy,Very good,Somewhat useful,Somewhat accurate,Somewhat useful,Very accurate
