PET,TEXT,text_name,condition,domain,Sent_id,keystrokes,time,num_major,num_minor,num_characters,highlight_ratio,prc_sugg_accepted,tags_edited,How difficult to translate was the source text?,How good was the quality of MT?,How useful were the error annotations? ,How accurate were the error annotations? ,How useful were the translation suggestions? ,How accurate were the translation suggestions? 
6,Text 5,news_scotsman.87462,3,news,6,148,268.333,0,2,258,0.1938,N/A,"'steakpudding heeft teruggebracht,'; 'kerstlunch-bagel.'",Somewhat easy,Fair,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 5,news_scotsman.87462,3,news,7,51,187.881,0,4,220,0.2727,N/A,'dat het een betaalbare'; 'aanbiedt'; 'intact blijft',Somewhat easy,Fair,Somewhat not useful,Somewhat accurate,nan,nan
6,Text 6,doc18,3,medical,1,64,134.622,1,1,195,0.0974,N/A,'De specificatie'; 'niet',Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan
6,Text 6,doc18,3,medical,2,64,151.983,0,0,198,0.0,N/A,,Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan
6,Text 6,doc18,3,medical,3,68,308.19,0,7,467,0.2784,N/A,"'VPT-prematuren,'; 'gestational age < 32 weken'; 'er werd onderzoek gedaan naar'",Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan
6,Text 6,doc18,3,medical,4,56,135.14499999999998,0,3,86,0.3256,N/A,'VPT-geboren'; 'termijncontroles.',Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan
6,Text 6,doc18,3,medical,5,43,63.35,0,5,162,0.2099,N/A,'zuigelingen'; 'termijncontroles'; 'SES.',Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan
6,Text 6,doc18,3,medical,6,0,0,0,2,94,0.4787,N/A,,Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan
6,Text 6,doc18,3,medical,7,20,26.721,0,4,117,0.4188,N/A,'uitkomst werd meestal onderschat.',Neutral,Good,Somewhat useful,Somewhat accurate,nan,nan
6,Text 7,news_seattle_times.799809,4,news,1,55,91.184,0,2,46,0.5217,0.0,'Geef'; 'WA opnieuw toezicht.',Somewhat easy,Fair,Neutral,Not accurate nor inaccurate,Neutral,Not accurate nor inaccurate
6,Text 7,news_seattle_times.799809,4,news,2,8,154.84199999999998,0,2,82,0.4878,0.0,,Somewhat easy,Fair,Neutral,Not accurate nor inaccurate,Neutral,Not accurate nor inaccurate
